Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
"Cook with: GINGER,GREEN_ONION,SOY_SAUCE,NOODLES,PORK,",30.0,3.0,0.1,0.0,3.0,3.0,0.30000000000000016,0.5477225575051663
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,CHICKEN,GINGER,",30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586206,0.30512857662936466
"Cook with: NOODLES,SHRIMP,SOY_SAUCE,",30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
"Cook with: NOODLES,CHICKEN,GINGER,SOY_SAUCE,MUSHROOMS,",30.0,3.0,0.1,0.0,2.0,2.0,0.16206896551724134,0.40257789993644877
"Cook with: CHICKEN,SOY_SAUCE,MUSHROOMS,NOODLES,",30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586205,0.30512857662936466
"Cook with: GINGER,MUSHROOMS,NOODLES,CHICKEN,",30.0,3.0,0.1,0.0,2.0,2.0,0.1620689655172414,0.4025778999364488
"Cook with: MUSHROOMS,NOODLES,CHICKEN,GREEN_ONION,",30.0,3.0,0.1,0.0,2.0,2.0,0.16206896551724131,0.4025778999364487
"Cook with: GREEN_ONION,SOY_SAUCE,NOODLES,SHRIMP,",30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
"Cook with: GREEN_ONION,NOODLES,GINGER,",30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
"Cook with: SOY_SAUCE,SHRIMP,NOODLES,GINGER,",30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586207,0.30512857662936466
"Cook with: GREEN_ONION,MUSHROOMS,NOODLES,SHRIMP,",30.0,3.0,0.1,0.0,2.0,2.0,0.16206896551724134,0.40257789993644877
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,GINGER,GREEN_ONION,",30.0,3.0,0.1,0.0,1.0,1.0,0.09310344827586206,0.30512857662936466
"Cook with: NOODLES,SHRIMP,PORK,GREEN_ONION,SOY_SAUCE,",30.0,3.0,0.09999999999999999,0.0,1.0,1.0,0.09310344827586206,0.30512857662936466
"Cook with: SOY_SAUCE,NOODLES,GREEN_ONION,",30.0,3.0,0.09999999999999999,0.0,1.0,1.0,0.09310344827586206,0.30512857662936466
"Cook with: CHICKEN,GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,PORK,GINGER,GREEN_ONION,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,SHRIMP,SOY_SAUCE,MUSHROOMS,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,PORK,CHICKEN,GREEN_ONION,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,PORK,GINGER,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,PORK,CHICKEN,GINGER,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195404,0.2537081317024625
"Cook with: GREEN_ONION,SOY_SAUCE,NOODLES,CHICKEN,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195404,0.2537081317024625
"Cook with: SOY_SAUCE,NOODLES,PORK,GINGER,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: MUSHROOMS,NOODLES,SHRIMP,CHICKEN,GREEN_ONION,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: GREEN_ONION,SOY_SAUCE,NOODLES,PORK,",30.0,2.0,0.0666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: GREEN_ONION,SOY_SAUCE,MUSHROOMS,PORK,NOODLES,",30.0,2.0,0.06666666666666668,0.0,2.0,2.0,0.13333333333333333,0.3651483716701107
"Cook with: NOODLES,PORK,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,SHRIMP,GREEN_ONION,",30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,CHICKEN,MUSHROOMS,",30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: GINGER,GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,SHRIMP,",30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195404,0.2537081317024625
"Cook with: NOODLES,PORK,CHICKEN,",30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,SHRIMP,",30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,PORK,GINGER,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SOY_SAUCE,NOODLES,PORK,",30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SHRIMP,SOY_SAUCE,MUSHROOMS,NOODLES,",30.0,2.0,0.06666666666666668,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: PORK,NOODLES,GINGER,SOY_SAUCE,",30.0,2.0,0.06666666666666668,0.0,2.0,2.0,0.13333333333333333,0.3651483716701107
"Cook with: MUSHROOMS,NOODLES,GINGER,GREEN_ONION,SOY_SAUCE,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,SHRIMP,GINGER,SOY_SAUCE,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: MUSHROOMS,NOODLES,PORK,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: PORK,MUSHROOMS,NOODLES,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,SHRIMP,PORK,GINGER,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: GREEN_ONION,NOODLES,SHRIMP,PORK,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,CHICKEN,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",30.0,2.0,0.06666666666666667,0.0,2.0,2.0,0.1333333333333333,0.3651483716701107
"Cook with: GREEN_ONION,MUSHROOMS,NOODLES,CHICKEN,",30.0,2.0,0.06666666666666667,0.0,2.0,2.0,0.13333333333333328,0.36514837167011066
"Cook with: CHICKEN,MUSHROOMS,NOODLES,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SOY_SAUCE,NOODLES,GINGER,GREEN_ONION,",30.0,2.0,0.06666666666666667,0.0,2.0,2.0,0.13333333333333333,0.3651483716701107
"Cook with: NOODLES,GINGER,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,PORK,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: MUSHROOMS,NOODLES,CHICKEN,GINGER,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,CHICKEN,GINGER,GREEN_ONION,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195404,0.2537081317024625
"Cook with: GREEN_ONION,NOODLES,CHICKEN,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: MUSHROOMS,NOODLES,PORK,CHICKEN,GINGER,GREEN_ONION,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,SHRIMP,MUSHROOMS,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: NOODLES,PORK,CHICKEN,SOY_SAUCE,",30.0,2.0,0.06666666666666667,0.0,2.0,2.0,0.1333333333333333,0.3651483716701107
"Cook with: NOODLES,SHRIMP,CHICKEN,GINGER,SOY_SAUCE,MUSHROOMS,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SOY_SAUCE,NOODLES,CHICKEN,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195401,0.2537081317024624
"Cook with: CHICKEN,GINGER,GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195404,0.2537081317024625
"Cook with: PORK,GINGER,SOY_SAUCE,NOODLES,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,PORK,CHICKEN,GREEN_ONION,",30.0,2.0,0.06666666666666667,0.0,1.0,1.0,0.06436781609195402,0.2537081317024624
"Cook with: SOY_SAUCE,NOODLES,PORK,CHICKEN,GINGER,GREEN_ONION,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: MUSHROOMS,NOODLES,SHRIMP,GREEN_ONION,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: NOODLES,CHICKEN,SOY_SAUCE,MUSHROOMS,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: MUSHROOMS,NOODLES,SHRIMP,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: MUSHROOMS,NOODLES,CHICKEN,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: MUSHROOMS,NOODLES,PORK,CHICKEN,GREEN_ONION,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: GINGER,GREEN_ONION,SOY_SAUCE,MUSHROOMS,PORK,NOODLES,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: GREEN_ONION,NOODLES,SHRIMP,PORK,GINGER,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.033333333333333326,0.18257418583505536
"Cook with: CHICKEN,GREEN_ONION,SHRIMP,NOODLES,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: NOODLES,SOY_SAUCE,SHRIMP,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: GREEN_ONION,NOODLES,PORK,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,SHRIMP,PORK,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.033333333333333326,0.18257418583505536
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,SHRIMP,PORK,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: NOODLES,SHRIMP,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: MUSHROOMS,NOODLES,CHICKEN,SOY_SAUCE,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: MUSHROOMS,PORK,NOODLES,SOY_SAUCE,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,PORK,GINGER,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: PORK,CHICKEN,NOODLES,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: PORK,CHICKEN,GINGER,GREEN_ONION,SOY_SAUCE,NOODLES,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: NOODLES,SHRIMP,GINGER,MUSHROOMS,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: SOY_SAUCE,NOODLES,CHICKEN,GINGER,GREEN_ONION,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: MUSHROOMS,NOODLES,PORK,CHICKEN,GINGER,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: PORK,NOODLES,GINGER,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: NOODLES,PORK,GINGER,SOY_SAUCE,MUSHROOMS,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: GREEN_ONION,SOY_SAUCE,MUSHROOMS,NOODLES,PORK,CHICKEN,GINGER,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.033333333333333326,0.18257418583505536
"Cook with: GREEN_ONION,NOODLES,SHRIMP,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: NOODLES,CHICKEN,GREEN_ONION,SOY_SAUCE,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
"Cook with: MUSHROOMS,NOODLES,SHRIMP,PORK,CHICKEN,",30.0,1.0,0.03333333333333335,0.0,1.0,1.0,0.03333333333333333,0.18257418583505536
