Actions Played Description \ Game #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"Cook with: NOODLES,SHRIMP,PORK,GINGER,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cook with: GINGER,GREEN_ONION,NOODLES,SHRIMP,",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cook with: PORK,NOODLES,CHICKEN,GINGER,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SHRIMP,PORK,MUSHROOMS,NOODLES,",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,PORK,",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cook with: MUSHROOMS,SHRIMP,NOODLES,CHICKEN,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: MUSHROOMS,SHRIMP,NOODLES,GREEN_ONION,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cook with: SHRIMP,CHICKEN,NOODLES,",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cook with: NOODLES,PORK,CHICKEN,GINGER,GREEN_ONION,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cook with: NOODLES,SHRIMP,GINGER,GREEN_ONION,MUSHROOMS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: NOODLES,SHRIMP,PORK,CHICKEN,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: NOODLES,SHRIMP,MUSHROOMS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: NOODLES,GINGER,MUSHROOMS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Cook with: GREEN_ONION,MUSHROOMS,PORK,NOODLES,GINGER,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cook with: GREEN_ONION,NOODLES,PORK,GINGER,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cook with: CHICKEN,GINGER,GREEN_ONION,MUSHROOMS,NOODLES,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cook with: GREEN_ONION,MUSHROOMS,NOODLES,CHICKEN,GINGER,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cook with: SOY_SAUCE,NOODLES,CHICKEN,",0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
"Cook with: MUSHROOMS,NOODLES,CHICKEN,GREEN_ONION,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cook with: MUSHROOMS,SHRIMP,NOODLES,CHICKEN,GINGER,GREEN_ONION,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Cook with: GREEN_ONION,MUSHROOMS,SHRIMP,NOODLES,PORK,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cook with: SOY_SAUCE,NOODLES,PORK,GINGER,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cook with: GINGER,MUSHROOMS,NOODLES,PORK,",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,GREEN_ONION,",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Cook with: NOODLES,CHICKEN,GINGER,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cook with: GREEN_ONION,NOODLES,GINGER,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: GREEN_ONION,PORK,NOODLES,",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: GREEN_ONION,SOY_SAUCE,NOODLES,SHRIMP,GINGER,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: GREEN_ONION,MUSHROOMS,NOODLES,SHRIMP,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: MUSHROOMS,NOODLES,SHRIMP,CHICKEN,GREEN_ONION,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cook with: NOODLES,CHICKEN,GINGER,GREEN_ONION,",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Cook with: SHRIMP,NOODLES,CHICKEN,GREEN_ONION,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SHRIMP,CHICKEN,GINGER,MUSHROOMS,NOODLES,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cook with: GREEN_ONION,MUSHROOMS,NOODLES,SHRIMP,CHICKEN,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cook with: GREEN_ONION,NOODLES,PORK,",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SHRIMP,CHICKEN,GREEN_ONION,MUSHROOMS,NOODLES,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cook with: GINGER,SOY_SAUCE,MUSHROOMS,PORK,NOODLES,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cook with: NOODLES,PORK,GINGER,GREEN_ONION,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Cook with: NOODLES,PORK,CHICKEN,GINGER,GREEN_ONION,MUSHROOMS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cook with: PORK,GREEN_ONION,MUSHROOMS,NOODLES,",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,GINGER,GREEN_ONION,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cook with: SHRIMP,NOODLES,PORK,GREEN_ONION,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: CHICKEN,GINGER,SOY_SAUCE,NOODLES,PORK,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cook with: SHRIMP,NOODLES,GREEN_ONION,MUSHROOMS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Cook with: NOODLES,PORK,CHICKEN,GINGER,MUSHROOMS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cook with: NOODLES,PORK,CHICKEN,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Cook with: GREEN_ONION,SOY_SAUCE,NOODLES,CHICKEN,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cook with: NOODLES,GINGER,SOY_SAUCE,",1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
Discard: NOODLES,0,1,0,0,0,2,1,0,0,1,0,2,0,1,0,0,2,1,0,0,1,0,4,0,0,0,0,1,0,2
"Cook with: NOODLES,GREEN_ONION,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,PORK,CHICKEN,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: MUSHROOMS,NOODLES,CHICKEN,GINGER,GREEN_ONION,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: CHICKEN,GINGER,SHRIMP,PORK,NOODLES,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cook with: NOODLES,SHRIMP,GINGER,GREEN_ONION,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cook with: PORK,GINGER,SOY_SAUCE,NOODLES,",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SOY_SAUCE,NOODLES,GREEN_ONION,",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: MUSHROOMS,NOODLES,SHRIMP,GINGER,GREEN_ONION,",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: CHICKEN,GREEN_ONION,SOY_SAUCE,NOODLES,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: PORK,NOODLES,GREEN_ONION,MUSHROOMS,",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: NOODLES,SHRIMP,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SOY_SAUCE,MUSHROOMS,NOODLES,SHRIMP,PORK,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: MUSHROOMS,NOODLES,CHICKEN,SOY_SAUCE,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: SHRIMP,NOODLES,GREEN_ONION,",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Cook with: NOODLES,SHRIMP,CHICKEN,GINGER,GREEN_ONION,",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook with: NOODLES,CHICKEN,GINGER,GREEN_ONION,SOY_SAUCE,MUSHROOMS,",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
