GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms)),FavoredCards(Discarded card),FavoredCards(Favored Cards)
1092153749,StirFry18,0,ACTION_TAKEN,105,33,4,2,0.0145,mcts,6.0E-4,0,0.002,38.3905,,
1092153749,StirFry18,0,ACTION_TAKEN,106,33,4,2,0.0136,mcts,0.0018,1,0.0023,38.6778,,
1092153749,StirFry18,0,ACTION_TAKEN,107,33,4,2,0.0324,mcts,0.0042,1,0.0031,40.308,,
1092153749,StirFry18,0,ACTION_TAKEN,108,33,4,2,0.0455,mcts,0.0011,1,0.0011,40.308,,
1092153749,StirFry18,0,ACTION_TAKEN,109,34,4,2,0.0195,mcts,7.0E-4,1,0.0038,40.308,,
1092153749,StirFry18,0,ACTION_TAKEN,110,34,4,2,0.0137,mcts,0.0029,2,0.0026,39.1653,,
1092153749,StirFry18,0,ACTION_TAKEN,111,34,4,2,0.0282,mcts,0.004,2,0.0039,42.3378,,
1092153749,StirFry18,0,ACTION_TAKEN,112,34,4,2,0.0484,mcts,0.0011,2,0.0011,42.3378,,
1092153749,StirFry18,0,ACTION_TAKEN,113,35,4,2,0.0141,mcts,7.0E-4,2,0.0036,42.3378,,
1092153749,StirFry18,0,ACTION_TAKEN,114,35,4,2,0.0202,mcts,0.0024,3,0.0025,43.6898,,
1092153749,StirFry18,0,ACTION_TAKEN,115,35,4,2,0.0386,mcts,0.0033,3,0.0023,39.1584,,
1092153749,StirFry18,0,ACTION_TAKEN,116,35,4,2,0.0351,mcts,0.0037,3,0.0032,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,117,35,4,2,0.0313,mcts,0.001,3,0.0015,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,118,36,4,2,0.1013,mcts,6.0E-4,3,0.0034,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,119,36,4,2,0.0089,mcts,0.0023,0,3.0E-4,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,120,37,4,2,0.0072,mcts,5.0E-4,0,0.0017,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,121,37,4,2,0.0074,mcts,0.001,1,2.0E-4,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,122,38,4,2,0.0071,mcts,5.0E-4,1,0.0013,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,123,38,4,2,0.0096,mcts,0.0015,2,2.0E-4,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,124,39,4,2,0.0069,mcts,5.0E-4,2,0.001,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,125,39,4,2,0.0081,mcts,8.0E-4,3,6.0E-4,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,126,40,4,2,0.0067,mcts,5.0E-4,3,0.0011,40.594,,
1092153749,StirFry18,0,ACTION_TAKEN,127,40,4,2,0.007,mcts,0.0036,0,0.0035,39.9996,,
1092153749,StirFry18,0,ACTION_TAKEN,128,40,4,2,0.0316,mcts,0.0013,0,0.001,39.9996,,
1092153749,StirFry18,0,ACTION_TAKEN,129,41,4,2,0.0142,mcts,8.0E-4,0,0.0059,39.9996,,
1092153749,StirFry18,0,ACTION_TAKEN,130,41,4,2,0.0263,mcts,0.0024,1,0.0015,39.5934,,
1092153749,StirFry18,0,ACTION_TAKEN,131,42,4,2,0.0179,mcts,0.001,1,0.0036,39.5934,,
1092153749,StirFry18,0,ACTION_TAKEN,132,42,4,2,0.0093,mcts,0.0023,2,3.0E-4,39.5934,,
1092153749,StirFry18,0,ACTION_TAKEN,133,43,4,2,0.0072,mcts,4.0E-4,2,0.001,39.5934,,
1092153749,StirFry18,0,ACTION_TAKEN,134,43,4,2,0.007,mcts,0.0014,3,3.0E-4,39.5934,,
1092153749,StirFry18,0,ACTION_TAKEN,135,44,4,2,0.0066,mcts,5.0E-4,3,0.0011,39.5934,,
1092153749,StirFry18,0,ACTION_TAKEN,136,44,4,2,0.0074,mcts,0.001,0,0.0025,39.4833,,
1092153749,StirFry18,0,ACTION_TAKEN,137,44,4,2,0.0243,mcts,0.0041,0,0.0037,39.0568,,
1092153749,StirFry18,0,ACTION_TAKEN,138,44,4,2,0.0205,mcts,0.001,0,0.0012,39.0568,,
1092153749,StirFry18,0,ACTION_TAKEN,139,45,4,2,0.0068,mcts,6.0E-4,0,0.0037,39.0568,,
1092153749,StirFry18,0,ACTION_TAKEN,140,45,4,2,0.0071,mcts,0.0017,1,0.0019,39.3385,,
1092153749,StirFry18,0,ACTION_TAKEN,141,45,4,2,0.0178,mcts,0.0019,1,9.0E-4,39.3385,,
1092153749,StirFry18,0,ACTION_TAKEN,142,45,4,2,0.0071,mcts,9.0E-4,1,0.0028,39.0535,MUSHROOMS,GREEN_ONION-PORK-SOY_SAUCE-
1092153749,StirFry18,0,ACTION_TAKEN,143,46,4,2,0.0279,mcts,0.0017,1,0.0096,39.0535,,
1092153749,StirFry18,0,ACTION_TAKEN,144,46,4,2,0.0138,mcts,0.006,2,0.003,39.0786,,
1092153749,StirFry18,0,ACTION_TAKEN,145,46,4,2,0.0196,mcts,0.001,2,8.0E-4,39.0786,,
1092153749,StirFry18,0,ACTION_TAKEN,146,47,4,2,0.007,mcts,7.0E-4,2,0.028,39.0786,,
-608220843,StirFry18,0,ACTION_TAKEN,1,0,4,3,0.0098,mcts,0.0101,0,0.0166,38.7932,,
